,QBER,delta,f_ec,FER,iteration_cost,rounds,iterations
93,0.03,-0.001,1.19504,0.0,6.62734,2.13815,62.2818
94,0.03,0.0,1.19693,0.0,6.35474,1.6657,60.0155
95,0.03,0.001,1.20498,0.0,6.44849,1.35085,52.7439
96,0.03,0.002,1.21458,0.0,13.4003,1.0788,41.0234
97,0.03,0.003,1.23869,0.0,13.2295,1.01315,34.9877
98,0.03,0.004,1.26655,0.0,13.2294,1.002,31.6983
99,0.03,0.005,1.29487,0.0,13.7523,1.0004,29.77
100,0.03,0.006,1.32308,0.0,13.7258,1.0003,28.3335
101,0.03,0.007,1.35101,0.0,14.053,1.0001,27.0032
102,0.03,0.008,1.37872,0.0,13.7358,1.0001,25.6235
103,0.03,0.009,1.40619,0.0,14.3275,1.0,24.1098
104,0.03,0.01,1.43345,0.0,14.9,1.0,22.7334
105,0.035,-0.01,1.6595,0.00115,4.06138,32.7646,286.448
106,0.035,-0.009,1.46448,0.0,3.85872,22.3437,251.693
107,0.035,-0.008,1.3697,0.0,3.22425,16.6475,222.631
108,0.035,-0.007,1.3252,0.0,5.67568,13.3276,197.148
109,0.035,-0.006,1.29187,0.0,14.1481,10.5231,177.403
110,0.035,-0.005,1.25668,0.0,13.9799,8.05545,167.027
111,0.035,-0.004,1.22902,0.0,4.76946,5.78125,145.382
112,0.035,-0.003,1.20978,0.0,4.65155,4.11505,124.346
113,0.035,-0.002,1.1978,0.0,4.63313,2.73815,88.9169
114,0.035,-0.001,1.19511,0.0,6.63343,2.03495,69.6253
115,0.035,0.0,1.18837,0.0,6.61897,1.542,60.1504
116,0.035,0.001,1.18208,0.0,6.25469,1.0975,42.911
117,0.035,0.002,1.20086,0.0,9.70592,1.01315,35.8747
118,0.035,0.003,1.22466,0.0,8.49072,1.0015,32.1007
119,0.035,0.004,1.249,0.0,8.73383,1.0001,29.3261
120,0.035,0.005,1.27325,0.0,14.5265,1.00005,27.0872
121,0.035,0.006,1.29731,0.0,14.7291,1.0,25.6288
122,0.035,0.007,1.32116,0.0,13.2771,1.0,25.1072
123,0.035,0.008,1.34482,0.0,14.8811,1.0,25.4674
124,0.035,0.009,1.36831,0.0,14.959,1.0,25.9943
125,0.035,0.01,1.39162,0.0,14.9756,1.0,25.9703
126,0.04,-0.01,1.37096,0.0,5.20743,17.8244,254.233
127,0.04,-0.009,1.3313,0.0,4.00307,14.7547,237.45
128,0.04,-0.008,1.29986,0.0,3.92432,12.1798,219.538
129,0.04,-0.007,1.27424,0.0,5.3272,9.944,194.032
130,0.04,-0.006,1.24864,0.0,3.21775,7.9744,173.964
131,0.04,-0.005,1.22219,0.0,3.16145,5.9015,142.615
132,0.04,-0.004,1.20428,0.0,5.45351,4.34555,119.862
133,0.04,-0.003,1.18981,0.0,4.8228,2.9777,87.1133
134,0.04,-0.002,1.18623,0.0,5.63508,2.30625,66.7823
135,0.04,-0.001,1.19425,0.0,5.62226,2.0141,60.9299
136,0.04,0.0,1.201,0.0,5.72083,1.72675,49.4575
137,0.04,0.001,1.19306,0.0,5.47157,1.29685,42.1897
138,0.04,0.002,1.19439,0.0,5.33984,1.01695,32.9574
139,0.04,0.003,1.21451,0.0,5.33096,1.0002,30.4173
140,0.04,0.004,1.23568,0.0,4.95137,1.0,29.5393
141,0.04,0.005,1.25671,0.0,2.66044,1.00005,28.804
142,0.04,0.006,1.27757,0.0,5.44198,1.0,27.8438
143,0.04,0.007,1.29828,0.0,5.43529,1.0,26.9427
144,0.04,0.008,1.31883,0.0,5.42883,1.0,26.2587
145,0.04,0.009,1.33923,0.0,3.60332,1.0,26.1154
146,0.04,0.01,1.35948,0.0,2.43778,1.0,26.7384
147,0.045,-0.01,1.29994,0.0,4.16654,12.8919,228.667
148,0.045,-0.009,1.28336,0.0,3.94437,11.0953,207.437
149,0.045,-0.008,1.2729,0.0,4.08494,9.6632,182.531
150,0.045,-0.007,1.26602,0.0,4.0915,8.5475,160.392
151,0.045,-0.006,1.26111,0.0,4.11224,7.5116,141.011
152,0.045,-0.005,1.24995,0.0,14.6505,6.20845,121.671
153,0.045,-0.004,1.23491,0.0,4.00472,4.78315,102.382
154,0.045,-0.003,1.21279,0.0,4.02466,3.38095,83.6645
155,0.045,-0.002,1.19538,0.0,4.064,2.33625,64.5699
156,0.045,-0.001,1.19572,0.0,4.01405,1.9315,58.5928
157,0.045,0.0,1.17211,0.0,14.1976,1.3131,47.5672
158,0.045,0.001,1.17049,0.0,5.40363,1.02855,37.6544
159,0.045,0.002,1.1872,0.0,3.40471,1.00565,34.7716
160,0.045,0.003,1.20518,0.0,5.25447,1.0023,34.0262
161,0.045,0.004,1.22321,0.0,5.23481,1.00135,34.5744
162,0.045,0.005,1.2411,0.0,3.04322,1.00035,35.184
163,0.045,0.006,1.25894,0.0,1.70295,1.00035,35.0827
164,0.045,0.007,1.27664,0.0,3.47027,1.00015,34.4256
165,0.045,0.008,1.29423,0.0,3.18817,1.00005,33.4438
166,0.045,0.009,1.31171,0.0,1.62445,1.00015,32.5957
167,0.045,0.01,1.32906,0.0,2.48608,1.0001,31.9824
168,0.05,-0.01,1.32668,0.00085,7.79956,13.0559,195.031
169,0.05,-0.009,1.31521,0.0,3.30513,11.6092,175.469
170,0.05,-0.008,1.29953,0.0,2.44638,10.0638,160.943
171,0.05,-0.007,1.27337,0.00085,8.64908,8.32398,146.745
172,0.05,-0.006,1.24743,0.0,3.6535,6.5782,130.501
173,0.05,-0.005,1.23264,0.0,2.98,5.137,111.494
174,0.05,-0.004,1.21139,0.0,3.04749,3.8181,93.1421
175,0.05,-0.003,1.19865,0.0006,6.25969,2.79508,73.6232
176,0.05,-0.002,1.18985,0.0,4.24963,2.129,59.5804
177,0.05,-0.001,1.19316,0.0,3.42961,1.8675,59.259
178,0.05,0.0,1.17561,0.00045,8.95111,1.36246,52.2768
179,0.05,0.001,1.17445,0.0,5.1017,1.10425,44.8082
180,0.05,0.002,1.18535,5e-05,8.38458,1.02045,40.964
181,0.05,0.003,1.20084,0.0,8.30864,1.0027,38.817
182,0.05,0.004,1.21739,0.00055,7.60987,1.00115,37.0709
183,0.05,0.005,1.23389,0.0,2.28082,1.0004,35.5926
184,0.05,0.006,1.25035,0.0,1.74881,1.0006,34.4567
185,0.05,0.007,1.26669,0.0,1.84352,1.0008,33.8152
186,0.05,0.008,1.28289,0.0,8.16804,1.0005,34.056
187,0.05,0.009,1.29914,0.0,8.19053,1.0021,35.1632
188,0.05,0.01,1.31515,0.00055,8.16563,1.002,36.2415
189,0.055,-0.01,1.29834,0.0,7.69164,10.9285,180.779
190,0.055,-0.009,1.27865,0.0,7.42002,9.36735,163.77
191,0.055,-0.008,1.25755,0.0,7.31399,7.96545,150.132
192,0.055,-0.007,1.23911,0.0,7.54003,6.53245,133.581
193,0.055,-0.006,1.2261,0.0,7.45933,5.2188,118.334
194,0.055,-0.005,1.20606,0.0,7.16838,3.9801,106.479
195,0.055,-0.004,1.19532,0.0,3.91388,2.9993,95.5679
196,0.055,-0.003,1.18137,0.0,3.88553,2.2329,79.4065
197,0.055,-0.002,1.18803,0.0,3.2985,2.0047,77.2716
198,0.055,-0.001,1.18689,0.0,5.37123,1.7493,72.1568
199,0.055,0.0,1.16803,0.0,5.09746,1.25535,53.9925
200,0.055,0.001,1.16846,0.0,3.08605,1.04465,43.7384
201,0.055,0.002,1.18147,0.0,5.17047,1.01385,40.4201
202,0.055,0.003,1.19646,0.0,5.21572,1.01215,39.4941
203,0.055,0.004,1.21129,0.0,5.25048,1.00955,39.6061
204,0.055,0.005,1.22605,0.0,6.83405,1.00745,40.1172
205,0.055,0.006,1.2408,0.0,6.82484,1.00645,40.166
206,0.055,0.007,1.25541,0.0,6.89717,1.0049,39.7193
207,0.055,0.008,1.26993,0.0,6.96984,1.00345,39.0551
208,0.055,0.009,1.28453,0.0,7.06977,1.00415,38.251
209,0.055,0.01,1.2989,0.0,7.12748,1.00315,36.7955
210,0.06,-0.01,1.2679,0.0,7.39005,9.11785,179.923
211,0.06,-0.009,1.2444,0.0,7.20055,7.6234,174.266
212,0.06,-0.008,1.22288,0.0,7.08243,6.13455,160.05
213,0.06,-0.007,1.2169,0.0,7.13676,5.05575,145.237
214,0.06,-0.006,1.19692,0.0,7.04151,4.0401,131.172
215,0.06,-0.005,1.18773,0.0,7.04771,3.036,101.134
216,0.06,-0.004,1.178,0.0,3.82,2.4007,85.3657
217,0.06,-0.003,1.17678,0.0,4.00511,2.01985,75.1827
218,0.06,-0.002,1.18725,0.0,3.67727,1.9464,78.4721
219,0.06,-0.001,1.17599,0.0,5.38129,1.5723,67.3182
