index,class,steps_to_anomaly,dev,dev_normed_by_std,running_dev_w_5,running_dev_w_30,running_dev_w_100,running_mean_w_5,running_mean_w_30,running_mean_w_100,type
592,before_anomaly,9,0.0008263366513389242,0.14876691603175138,-0.0005000000000000004,0.0008046666666666671,0.0009104999999999999,0.009609999999999999,0.010914666666666666,0.011020499999999999,collective
593,before_anomaly,8,0.0006036633486610765,0.10867862941356381,-0.001608,-0.0006216666666666662,-0.0004944999999999984,0.009932,0.010918333333333334,0.011045500000000001,collective
594,before_anomaly,7,0.00013366334866107658,0.02406365993153719,-0.0007539999999999995,-0.00018333333333333396,-5.299999999999749e-06,0.010316,0.010886666666666666,0.0110647,collective
595,before_anomaly,6,0.0011236633486610761,0.2022951913936783,-0.0012519999999999996,-0.001162333333333333,-0.0010129000000000006,0.010808,0.010897666666666667,0.011047099999999999,collective
596,before_anomaly,5,2.366334866107586e-05,0.004260156435743595,0.00018800000000000067,-7.700000000000068e-05,5.410000000000137e-05,0.011148,0.010882999999999999,0.0110141,collective
597,before_anomaly,4,0.001893663348661076,0.34091971586423253,-0.0011380000000000001,-0.0018783333333333343,-0.001831000000000001,0.011692,0.010951666666666665,0.010998999999999998,collective
598,before_anomaly,3,0.004353663348661076,0.7837980667701592,-0.002848,-0.0042109999999999995,-0.0042752,0.012442,0.011079,0.0110148,collective
599,before_anomaly,2,0.0029636633486610758,0.5335537953233144,-0.0008919999999999987,-0.0027803333333333326,-0.0028833,0.013008,0.011119666666666667,0.011016699999999999,collective
600,before_anomaly,1,0.0038036633486610762,0.6847805492911918,-0.0011959999999999991,-0.003442666666666667,-0.0037009,0.013544,0.011297333333333333,0.0110391,collective
601,before_anomaly,0,0.0036936633486610772,0.6649770457953985,-0.00035199999999999815,-0.003139000000000001,-0.003550899999999999,0.014278000000000002,0.011491,0.011079100000000001,collective
602,anomaly,0,0.018663663348661076,3.3600538397229274,-0.011968,-0.017426333333333335,-0.0183385,0.017632000000000002,0.012173666666666666,0.0112615,collective
603,anomaly,0,0.16564366334866107,29.82113514710223,-0.12668999999999997,-0.15881433333333334,-0.1636703,0.049890000000000004,0.017765666666666666,0.0129097,collective
604,anomaly,0,0.15682366334866107,28.23325423043952,-0.08709800000000001,-0.14471466666666666,-0.1532778,0.08066199999999998,0.02304533333333333,0.0144822,collective
605,anomaly,0,0.15388366334866108,27.703960591551947,-0.05414200000000001,-0.136565,-0.1487914,0.11067799999999998,0.028254999999999995,0.0160286,collective
606,anomaly,0,0.016713663348661076,3.0089917322974977,0.08563199999999996,0.0011956666666666643,-0.011434200000000002,0.11328199999999997,0.028845666666666665,0.0162158,collective
607,anomaly,0,0.012663663348661076,2.2798627399523745,0.08848199999999999,0.0056353333333333325,-0.007242700000000001,0.11208199999999999,0.029235333333333332,0.016357299999999998,collective
608,anomaly,0,0.015313663348661076,2.756947142351035,0.05576600000000001,0.0034876666666666667,-0.0097269,0.082016,0.029737666666666666,0.0165231,collective
609,anomaly,0,0.015533663348661077,2.7965541493426223,0.027287999999999993,0.00376633333333333,-0.009783700000000003,0.05375799999999999,0.03023633333333333,0.016686299999999998,collective
610,anomaly,0,0.012773663348661075,2.2996662434481676,0.0018259999999999978,0.006905000000000001,-0.0068848,0.025535999999999996,0.030615,0.0168252,collective
611,anomaly,0,0.013773663348661076,2.479698093409927,0.00023799999999999863,0.006319333333333333,-0.007716399999999998,0.024947999999999998,0.031029333333333332,0.0169936,collective
612,anomaly,0,0.013183663348661076,2.373479301932489,0.0009319999999999988,0.007259999999999999,-0.006994400000000001,0.025051999999999998,0.03138,0.017125599999999998,collective
613,anomaly,0,0.012373663348661077,2.227653503463465,0.0011539999999999988,0.008452333333333329,-0.006053500000000003,0.024464,0.03176233333333333,0.017256499999999998,collective
614,anomaly,0,0.014463663348661076,2.6039200698835403,-0.0011499999999999982,0.006727333333333328,-0.0079972,0.02425,0.03212733333333333,0.0174028,collective
615,anomaly,0,0.013803663348661078,2.48509904890878,-0.000284000000000003,0.007743999999999997,-0.007192000000000004,0.024456,0.032484,0.017547999999999998,collective
616,anomaly,0,0.017553663348661076,3.160218486265375,-0.0032779999999999997,0.004542999999999998,-0.010773600000000001,0.025212000000000002,0.033033,0.0177164,collective
617,anomaly,0,0.019023663348661075,3.4248653057091603,-0.0035800000000000033,0.003781333333333331,-0.0120539,0.026379999999999997,0.03374133333333333,0.0179061,collective
618,anomaly,0,0.020973663348661076,3.77592741313459,-0.0038099999999999974,0.002563999999999997,-0.0138168,0.028100000000000003,0.034474,0.0180932,collective
619,anomaly,0,0.020093663348661077,3.617499385168242,-0.0018040000000000035,0.004173333333333338,-0.012764399999999999,0.029225999999999995,0.035203333333333336,0.0182656,collective
620,anomaly,0,0.021603663348661074,3.889347478610498,-0.0017539999999999986,0.0034280000000000005,-0.0140997,0.030786,0.035968,0.0184403,collective
621,anomaly,0,0.01976366334866108,3.5580888746808625,0.0005279999999999972,0.0059826666666666604,-0.0120847,0.031228,0.03668266666666666,0.0186153,collective
622,anomaly,0,0.020863663348661077,3.7561239096387964,-0.0002040000000000028,0.0056056666666666685,-0.0130071,0.031596,0.03740566666666667,0.0187929,collective
9587,before_anomaly,9,0.0011236633486610761,0.2022951913936783,-0.0010599999999999984,-0.0005803333333333337,-0.0007610999999999989,0.011000000000000001,0.011479666666666666,0.0112989,collective
9588,before_anomaly,8,0.0002436633486610773,0.04386716342733078,0.00026199999999999835,0.0002349999999999991,9.979999999999885e-05,0.011441999999999999,0.011415,0.0112798,collective
